mountain,Site,PlotID,site,pH,OM_Pct,Avail_P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,Exch_Acid,ECEC,,,,,,,,,,,,
ABE,500,ABE-500,NH,5.17,10.153,2.2,103,1350,127,2.8,0.2,52.2,0.1,16.4,96,7,17,6.22,8.07,,,,,,,,,,,,
ABE,500,ABE-500,NH,5.22,9.334,3.45,104,1444,147,6.95,0.2,50.7,0.1,16.5,55,7,15,5.73,8.71,,,,,,,,,,,,
ABE,500,ABE-500,NH,5.19,8.879,2.35,122,1286,142,5.3,0.2,45.1,0.15,17.8,85,7,16,5.85,7.93,,,,,,,,,,,,
MAN,500,MAN-500,NH,3.78,10.608,2.1,54,125,35,1.45,0.65,12.4,0.35,120.3,76,7,23,10.57,1.06,,,,,,,,,,,,
MAN,500,MAN-500,NH,4.27,10.335,1.9,51,72,21,2.05,0.2,60.4,0.5,33.8,294,6,29,9.86,0.67,,,,,,,,,,,,
MAN,500,MAN-500,NH,4.22,15.431,1.25,44,54,21,1.9,0.4,26.9,0.45,75.6,320,9,27,11.19,0.56,,,,,,,,,,,,
ABE,600,ABE-600,NH,4.8,15.704,3.7,131,785,114,5.05,0.3,148.2,0.25,44.7,112,7,35,8.6,5.21,,,,,,,,,,,,
ABE,600,ABE-600,NH,4.74,7.605,0.95,68,376,47,2.15,0.25,34.9,0.3,42.8,228,6,16,7.55,2.45,,,,,,,,,,,,
ABE,600,ABE-600,NH,4.77,11.973,1.9,93,610,72,5,0.3,70.8,0.25,45.6,148,6,21,8.06,3.89,,,,,,,,,,,,
JAY,600,JAY-600,NH,4.09,24.622,3.3,94,119,37,2.3,0.3,46.7,0.2,49.5,224,11,41,13.14,1.14,,,,,,,,,,,,
JAY,600,JAY-600,NH,4.15,10.153,1.8,48,77,24,1.7,0.75,27.9,0.5,132.2,236,9,27,9.96,0.71,,,,,,,,,,,,
JAY,600,JAY-600,NH,4.07,9.789,1.95,53,108,28,1.25,0.85,32.1,0.45,155.1,192,7,26,9.96,0.91,,,,,,,,,,,,
KIL,600,KIL-600,NH,4.28,13.975,1.35,62,144,41,2.2,0.45,12,0.35,80.5,330,7,25,10.74,1.22,,,,,,,,,,,,
KIL,600,KIL-600,NH,4.37,10.972,1.55,68,135,34,2.05,0.35,30.3,0.35,68.4,265,8,23,9.56,1.13,,,,,,,,,,,,
KIL,600,KIL-600,NH,4.57,11.245,2.1,103,331,47,4.15,0.35,65.3,0.35,64.1,232,9,22,8.86,2.31,,,,,,,,,,,,
MAN,600,MAN-600,NH,3.62,35.724,9.55,87,184,72,3.1,0.15,25.3,0.2,26.8,25,9,31,16.14,1.74,,,,,,,,,,,,
MAN,600,MAN-600,NH,3.57,19.981,5.45,53,131,62,4.05,0.2,16.9,0.25,39,30,10,25,13.01,1.31,,,,,,,,,,,,
ABE,700,ABE-700,ECO,4.96,12.61,1.65,77,1305,176,4.35,0.15,111.9,0.2,20.4,118,8,22,7.48,8.19,,,,,,,,,,,,
ABE,700,ABE-700,ECO,4.87,12.428,1.1,79,758,74,4.8,0.15,122.7,0.35,19.6,146,5,16,7.83,4.61,,,,,,,,,,,,
ABE,700,ABE-700,ECO,5.1,10.517,1.5,78,834,118,7.95,0.15,179.5,0.3,17.4,99,7,24,6.52,5.35,,,,,,,,,,,,
JAY,700,JAY-700,ECO,3.7,15.795,4.8,88,152,42,2.5,0.25,18.6,0.2,45.9,41,10,26,11.77,1.34,,,,,,,,,,,,
JAY,700,JAY-700,ECO,4.03,9.88,2.85,63,65,25,1.15,0.6,69.9,0.4,106.4,184,7,26,10.07,0.69,,,,,,,,,,,,
JAY,700,JAY-700,ECO,4.11,18.343,4.4,100,164,41,2.6,0.2,119.1,0.3,35.3,134,9,36,11.4,1.42,,,,,,,,,,,,
KIL,700,KIL-700,ECO,3.83,9.971,1.65,42,120,37,1.25,1.35,16.8,0.7,252,182,6,22,10.71,1.02,,,,,,,,,,,,
KIL,700,KIL-700,ECO,3.98,13.611,8.1,92,405,58,4,0.1,160.2,0.15,13.3,28,37,19,10.38,2.74,,,,,,,,,,,,
KIL,700,KIL-700,ECO,3.81,12.155,1.05,27,179,59,1.5,1.55,13.4,0.65,287.3,208,6,21,11.33,1.46,,,,,,,,,,,,
MAN,700,MAN-700,ECO,3.9,10.426,1.4,46,82,31,1.35,1.65,13,0.9,304,122,7,24,10.34,0.79,,,,,,,,,,,,
MAN,700,MAN-700,ECO,4.01,17.706,2.05,62,95,31,1.45,0.75,53.3,0.55,132.7,193,8,28,11.81,0.89,,,,,,,,,,,,
ABE,800,ABE-800,ECO,4.11,11.518,1.65,44,68,23,1.7,0.15,9,0.8,25.9,292,7,34,10.6,0.64,,,,,,,,,,,,
