spp,mountain,site,leaf_N,leaf_P,leaf_K,leaf_Ca,leaf_Mg,leaf_S,leaf_Mn,leaf_Fe,leaf_Cu,leaf_B,leaf_Al,leafZn,leaf_Na,pH,SOM,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,Exch_Acid,ECEC
ACSA,ABE,L,1.99,0.18,0.84,0.81,0.24,0.15,722,125,9,22,105,23,29,4.8,15.704,3.7,131,785,114,5.05,0.3,148.2,0.25,44.7,112,7,35,8.6,5.21
ACSA,ABE,L,2,0.13,0.89,0.81,0.26,0.18,932,175,9,31,85,29,24,4.74,7.605,0.95,68,376,47,2.15,0.25,34.9,0.3,42.8,228,6,16,7.55,2.45
ACSA,ABE,L,2,0.16,0.91,0.92,0.28,0.19,960,181,8,37,76,29,26,4.77,11.973,1.9,93,610,72,5,0.3,70.8,0.25,45.6,148,6,21,8.06,3.89
ACSA,ABE,M,1.9,0.16,0.65,0.65,0.24,0.2,1526,95,10,20,108,26,12,4.11,11.518,1.65,44,68,23,1.7,0.15,9,0.8,25.9,292,7,34,10.6,0.64
ACSA,ABE,M,2,0.16,0.66,0.59,0.17,0.18,2966,125,8,38,103,27,12,4.22,25.896,2.1,69,177,55,5,0.25,225.2,0.55,42.8,202,11,36,12.91,1.52
ACSA,ABE,M,1.88,0.15,0.68,0.62,0.23,0.14,2125,223,5,34,91,29,16,3.72,55.835,11.4,91,280,94,7.1,0.1,52.9,0.25,14.9,27,11,34,20.06,2.42
ACSA,ABE,H,1.81,0.13,0.5,0.68,0.15,0.22,962,86,10,22,100,24,38,3.71,54.288,2.8,67,229,36,4.35,0.2,17.4,0.7,32.7,174,9,36,20.35,1.62
ACSA,ABE,H,2.02,0.14,0.75,0.58,0.21,0.21,1475,550,9,34,197,26,58,3.69,57.655,2.95,67,204,33,3.95,0.15,15.2,0.6,24.7,145,9,32,21.01,1.47
ACSA,ABE,H,1.95,0.19,0.68,0.68,0.2,0.21,1623,166,8,31,72,27,66,3.75,55.107,2.8,63,200,31,3.55,0.15,15.2,0.65,28.2,165,10,30,20.37,1.42
ACSA,JAY,L,1.95,0.16,0.79,0.89,0.22,0.18,724,124,14,27,95,31,27,4.09,24.622,3.3,94,119,37,2.3,0.3,46.7,0.2,49.5,224,11,41,13.14,1.14
ACSA,JAY,L,2,0.19,0.83,0.86,0.24,0.25,932,177,12,24,84,27,29,4.15,10.153,1.8,48,77,24,1.7,0.75,27.9,0.5,132.2,236,9,27,9.96,0.71
ACSA,JAY,L,2,0.17,0.89,0.95,0.31,0.16,962,176,6,32,86,33,23,4.07,9.789,1.95,53,108,28,1.25,0.85,32.1,0.45,155.1,192,7,26,9.96,0.91
ACSA,JAY,M,1.91,0.2,0.69,0.58,0.23,0.19,1524,98,8,28,65,29,21,3.78,13.247,8.4,100,124,55,3.4,0.1,57,0.25,14.6,33,10,28,10.95,1.33
ACSA,JAY,M,2,0.2,0.69,0.63,0.17,0.22,2964,124,13,34,91,26,16,4.27,19.617,2,60,159,38,8.45,0.85,330.8,0.55,149.8,243,9,29,11.6,1.27
ACSA,JAY,M,1.86,0.21,0.73,0.66,0.23,0.19,2128,225,11,38,109,30,13,4.27,20.436,2.6,71,160,36,3.6,0.45,219.4,0.45,72,240,8,39,11.76,1.28
ACSA,JAY,H,1.74,0.16,0.52,0.64,0.16,0.2,966,88,3,18,95,22,39,3.99,43.55,2.55,118,127,57,2.5,0.65,46,0.6,116.4,143,10,42,17.1,1.41
ACSA,JAY,H,1.98,0.19,0.7,0.66,0.17,0.17,1474,550,7,31,196,22,51,4.15,36.27,2.75,143,92,59,2,0.7,111.1,0.8,129.3,187,11,46,15.25,1.32
ACSA,JAY,H,1.92,0.18,0.73,0.67,0.24,0.23,1624,173,6,27,71,26,66,3.72,24.895,3.15,91,131,50,1.7,1.3,7,0.85,230.3,102,8,38,13.86,1.31
ACSA,KIL,L,1.98,0.14,0.81,0.82,0.25,0.18,724,121,7,23,97,28,22,4.28,13.975,1.35,62,144,41,2.2,0.45,12,0.35,80.5,330,7,25,10.74,1.22
ACSA,KIL,L,2,0.13,0.84,0.79,0.28,0.16,930,175,5,24,92,26,22,4.37,10.972,1.55,68,135,34,2.05,0.35,30.3,0.35,68.4,265,8,23,9.56,1.13
ACSA,KIL,L,2.02,0.17,0.87,1.01,0.25,0.23,965,172,10,30,77,28,26,4.57,11.245,2.1,103,331,47,4.15,0.35,65.3,0.35,64.1,232,9,22,8.86,2.31
ACSA,KIL,M,1.88,0.18,0.69,0.58,0.24,0.18,1520,102,9,25,68,32,18,4.45,7.696,2.55,76,299,50,2.35,0.5,115.2,0.35,87.8,139,48,24,8.12,2.11
ACSA,KIL,M,2,0.17,0.66,0.6,0.18,0.24,2966,125,9,38,80,34,17,4.2,10.426,2.15,63,121,39,2,0.7,34.5,0.4,123.9,231,6,27,9.84,1.09
ACSA,KIL,M,1.9,0.2,0.75,0.59,0.21,0.17,2129,225,11,34,80,30,18,3.53,71.032,27.8,88,538,111,6.25,0.05,10.6,0.15,2.3,11,10,30,23.78,3.84
ACSA,KIL,H,1.79,0.12,0.48,0.7,0.21,0.21,961,91,3,15,72,25,40,3.64,39.091,3.45,83,145,46,3.45,0.15,8.4,0.25,23.1,96,7,36,17.07,1.32
ACSA,KIL,H,2.05,0.12,0.74,0.62,0.17,0.21,1476,548,5,34,197,24,53,3.53,39,8.8,72,243,50,4.65,0.05,10.8,0.15,8.1,38,8,32,17.16,1.82
ACSA,KIL,H,1.92,0.13,0.66,0.63,0.2,0.24,1618,165,6,32,120,24,69,4.17,51.831,1.55,58,93,29,3.15,0.1,19.5,0.25,9.9,439,8,33,19.46,0.86
ACSA,MAN,L,1.9,0.13,0.81,0.87,0.26,0.21,717,125,12,24,67,29,20,3.62,35.724,9.55,87,184,72,3.1,0.15,25.3,0.2,26.8,25,9,31,16.14,1.74
ACSA,MAN,L,2,0.14,0.89,0.84,0.22,0.21,932,182,6,30,85,33,27,4.27,10.335,1.9,51,72,21,2.05,0.2,60.4,0.5,33.8,294,6,29,9.86,0.67
ACSA,MAN,L,1.98,0.19,0.84,0.97,0.22,0.24,965,177,8,33,77,30,18,3.57,19.981,5.45,53,131,62,4.05,0.2,16.9,0.25,39,30,10,25,13.01,1.31
ACSA,MAN,M,1.9,0.21,0.72,0.56,0.18,0.27,1520,96,14,20,62,30,21,3.52,73.216,10.15,55,223,70,3.15,0.05,9.7,0.1,2.2,18,17,27,24.3,1.84
ACSA,MAN,M,2.07,0.19,0.69,0.63,0.23,0.2,2961,126,5,33,75,34,13,3.83,54.743,17.35,147,195,76,4.15,0.05,23.9,0.15,8.8,43,10,40,19.55,1.99
ACSA,MAN,M,1.85,0.19,0.68,0.61,0.19,0.23,2129,226,3,41,94,30,16,3.92,33.722,2.3,93,124,39,2.45,0.35,22.3,0.5,63.8,185,12,37,15.42,1.18
ACSA,MAN,H,1.79,0.16,0.54,0.64,0.22,0.18,959,91,4,22,57,27,45,3.91,34.086,2.15,75,69,35,1.75,0.95,4.1,0.65,177.3,179,12,37,15.51,0.83
ACSA,MAN,H,2.05,0.16,0.78,0.64,0.16,0.21,1475,547,13,31,191,28,49,4,27.534,2.45,99,108,48,2.65,0.5,10.1,0.5,91.8,155,9,35,13.76,1.19
ACSA,MAN,H,1.97,0.13,0.67,0.66,0.2,0.19,1617,171,5,29,91,28,68,3.87,23.712,1.6,63,51,30,1.8,0.85,4.4,0.7,159,155,10,32,13.36,0.67
FAGR,ABE,L,2.32,0.19,0.78,0.71,0.29,0.18,760,190,15,23,83,35,35,4.8,15.704,3.7,131,785,114,5.05,0.3,148.2,0.25,44.7,112,7,35,8.6,5.21
FAGR,ABE,L,2.35,0.18,0.87,0.83,0.25,0.19,1211,174,11,25,75,26,27,4.74,7.605,0.95,68,376,47,2.15,0.25,34.9,0.3,42.8,228,6,16,7.55,2.45
FAGR,ABE,L,2.15,0.19,0.87,0.89,0.31,0.19,948,263,14,17,99,26,30,4.77,11.973,1.9,93,610,72,5,0.3,70.8,0.25,45.6,148,6,21,8.06,3.89
FAGR,ABE,M,2.2,0.17,0.68,0.74,0.26,0.15,1840,162,7,18,52,35,30,4.11,11.518,1.65,44,68,23,1.7,0.15,9,0.8,25.9,292,7,34,10.6,0.64
FAGR,ABE,M,2.28,0.2,0.72,0.97,0.27,0.2,1538,186,18,17,83,37,40,4.22,25.896,2.1,69,177,55,5,0.25,225.2,0.55,42.8,202,11,36,12.91,1.52
FAGR,ABE,M,2.11,0.18,0.82,0.81,0.19,0.15,1244,119,15,26,35,30,30,3.72,55.835,11.4,91,280,94,7.1,0.1,52.9,0.25,14.9,27,11,34,20.06,2.42
FAGR,ABE,H,2.18,0.2,0.75,0.81,0.24,0.15,2466,129,6,22,46,31,36,3.71,54.288,2.8,67,229,36,4.35,0.2,17.4,0.7,32.7,174,9,36,20.35,1.62
FAGR,ABE,H,1.98,0.15,0.77,0.8,0.22,0.2,1746,133,12,28,30,34,35,3.69,57.655,2.95,67,204,33,3.95,0.15,15.2,0.6,24.7,145,9,32,21.01,1.47
FAGR,ABE,H,2.21,0.2,0.71,0.89,0.26,0.13,1162,110,11,24,33,29,28,3.75,55.107,2.8,63,200,31,3.55,0.15,15.2,0.65,28.2,165,10,30,20.37,1.42
FAGR,JAY,L,2.31,0.18,0.82,0.78,0.3,0.17,767,185,12,20,78,33,37,4.09,24.622,3.3,94,119,37,2.3,0.3,46.7,0.2,49.5,224,11,41,13.14,1.14
FAGR,JAY,L,2.34,0.22,0.8,0.82,0.23,0.2,1209,175,7,17,73,28,25,4.15,10.153,1.8,48,77,24,1.7,0.75,27.9,0.5,132.2,236,9,27,9.96,0.71
FAGR,JAY,L,2.2,0.14,0.87,0.81,0.24,0.17,942,264,12,25,93,31,30,4.07,9.789,1.95,53,108,28,1.25,0.85,32.1,0.45,155.1,192,7,26,9.96,0.91
FAGR,JAY,M,2.18,0.14,0.7,0.8,0.29,0.14,1833,157,10,20,58,38,30,3.78,13.247,8.4,100,124,55,3.4,0.1,57,0.25,14.6,33,10,28,10.95,1.33
FAGR,JAY,M,2.29,0.21,0.7,0.96,0.29,0.2,1537,188,17,16,74,34,33,4.27,19.617,2,60,159,38,8.45,0.85,330.8,0.55,149.8,243,9,29,11.6,1.27
FAGR,JAY,M,2.14,0.23,0.82,0.83,0.18,0.14,1243,116,11,22,31,29,28,4.27,20.436,2.6,71,160,36,3.6,0.45,219.4,0.45,72,240,8,39,11.76,1.28
