mountain,site,elev,spp,treatment,num_germ,num_alive,survival,height_avg,num_leaves_avg,root_shoot_ratio_avg,total_bio_avg,total_abv_avg,total_below_avg,root_path,herb,browse,N,P,K,Ca,Mg,Al
ABE,H,1000,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.81,0.13,0.5,0.68,0.15,100
ABE,H,1000,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.02,0.14,0.75,0.58,0.21,197
ABE,H,1000,ACSA,C,1,0,0,16.51,3,2.258,1.297,0.398,0.8985,0,0,0,1.95,0.19,0.68,0.68,0.2,72
ABE,H,1000,ACSA,C,1,0,0,16.51,3,2.258,1.297,0.398,0.8985,0,0,0,1.99,0.18,0.84,0.81,0.24,105
ABE,H,1000,ACSA,C,1,0,0,16.51,3,2.258,1.297,0.398,0.8985,0,0,0,2,0.13,0.89,0.81,0.26,85
ABE,L,600,ACSA,C,6,6,1,12.065,2,1.4466,0.481666667,0.2146,0.302666667,0,1,0,2,0.16,0.91,0.92,0.28,76
ABE,L,600,ACSA,C,6,6,1,12.065,2,1.4466,0.481666667,0.2146,0.302666667,0,1,0,1.9,0.16,0.65,0.65,0.24,108
ABE,L,600,ACSA,C,6,6,1,12.065,2,1.4466,0.481666667,0.2146,0.302666667,0,1,0,2,0.16,0.66,0.59,0.17,103
ABE,L,600,ACSA,C,5,5,1,11.684,2,1.3818,0.3106,0.1416,0.1689,0,1,0,1.88,0.15,0.68,0.62,0.23,91
ABE,L,600,ACSA,C,5,5,1,11.684,2,1.3818,0.3106,0.1416,0.1689,0,1,0,1.74,0.16,0.52,0.64,0.16,95
ABE,L,600,ACSA,C,5,5,1,11.684,2,1.3818,0.3106,0.1416,0.1689,0,1,0,1.98,0.19,0.7,0.66,0.17,196
ABE,M,800,ACSA,C,3,1,0.333333333,13.97,2,1.702,0.441,0.163,0.2775,0,0,0,1.92,0.18,0.73,0.67,0.24,71
ABE,M,800,ACSA,C,3,1,0.333333333,13.97,2,1.702,0.441,0.163,0.2775,0,0,0,1.95,0.16,0.79,0.89,0.22,95
ABE,M,800,ACSA,C,3,1,0.333333333,13.97,2,1.702,0.441,0.163,0.2775,1,0,0,2,0.19,0.83,0.86,0.24,84
ABE,M,800,ACSA,C,4,3,0.75,10.16,2,0.781666667,0.275666667,0.153666667,0.121833333,0,0,0,2,0.17,0.89,0.95,0.31,86
ABE,M,800,ACSA,C,4,3,0.75,10.16,2,0.781666667,0.275666667,0.153666667,0.121833333,0,0,0,1.91,0.2,0.69,0.58,0.23,65
